,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,-433762.06814285804,0.0,2192.982456140351,0,0,0,0
0,1,0.140625,0.234375,-435295.8587955883,187.05407100424094,2192.982456140351,2,3,2,1
0,2,0.28125,0.46875,-436332.9540272009,180.55057250236104,2192.982456140351,4,6,4,2
0,3,0.421875,0.6875,-437294.43300184235,154.16280548862426,2192.982456140351,6,9,6,3
0,4,0.546875,0.90625,-438129.48443602317,119.73090758848099,2192.982456140351,8,12,8,4
0,5,0.6875,1.140625,-438831.433623511,100.46331134503527,2192.982456140351,10,15,10,5
0,6,0.828125,1.375,-439413.7558614136,98.19501659055263,2192.982456140351,12,18,12,6
0,7,0.953125,1.609375,-439897.27698834066,105.43110178207891,2192.982456140351,14,21,14,7
0,8,1.078125,1.84375,-440302.78695734113,112.0355249900547,2192.982456140351,16,24,16,8
0,9,1.21875,2.078125,-440648.60024807265,116.24347344666795,2192.982456140351,18,27,18,9
0,10,1.359375,2.296875,-440949.1495157231,118.10126330507286,2192.982456140351,20,30,20,10
0,11,1.5,2.515625,-441215.59885353316,117.53009431981822,2192.982456140351,22,33,22,11
0,12,1.625,2.734375,-441455.30365768773,114.85162200345876,2192.982456140351,24,36,24,12
0,13,1.75,2.96875,-441673.2709015902,110.5148220774833,2192.982456140351,26,39,26,13
0,14,1.890625,3.203125,-441872.00800833583,104.75732483798188,2192.982456140351,28,42,28,14
0,15,2.03125,3.4375,-442053.12425621774,97.78178253016159,2192.982456140351,30,45,30,15
0,16,2.15625,3.65625,-442217.5884903768,89.81158900635056,2192.982456140351,32,48,32,16
0,17,2.28125,3.890625,-442365.64407174045,80.6781733001825,2192.982456140351,34,51,34,17
0,18,2.40625,4.125,-442498.5943690357,74.1980461636537,2192.982456140351,36,54,36,18
0,19,2.546875,4.359375,-442617.0756069191,70.68526024797595,2192.982456140351,38,57,38,19
0,20,2.6875,4.578125,-442721.71554551774,65.97264769425028,2192.982456140351,40,60,40,20
0,21,2.8125,4.8125,-442813.5553497054,61.9314870114644,2192.982456140351,42,63,42,21
0,22,2.9375,5.046875,-442893.59276742,56.97023819833896,2192.982456140351,44,66,44,22
0,23,3.078125,5.28125,-442963.18744510924,51.04941049852803,2192.982456140351,46,69,46,23
0,24,3.21875,5.5,-443023.46691977745,47.111016631872715,2192.982456140351,48,72,48,24
0,25,3.359375,5.734375,-443075.6730183888,43.974595620045754,2192.982456140351,50,75,50,25
0,26,3.5,5.96875,-443120.8290608228,40.598232427230435,2192.982456140351,52,78,52,26
0,27,3.640625,6.203125,-443159.71280466096,47.00115239809916,2192.982456140351,54,81,54,27
0,28,3.765625,6.421875,-443193.1100353539,48.3858406934766,2192.982456140351,56,84,56,28
0,29,3.890625,6.65625,-443221.9075205568,43.343862676004505,2192.982456140351,58,87,58,29
0,30,4.03125,6.890625,-443246.81107679696,38.73443406120045,2192.982456140351,60,90,60,30
