,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,0,0.0,0.0,1000000.0,1.7976931348623157e+308,0,0
0,1,0.078125,0.0625,465182.13802538393,534817.8619746161,55,1
0,2,0.109375,0.09375,462073.1055496413,3109.032475742628,83,2
0,3,0.140625,0.125,460051.11989688675,2021.985652754549,112,3
0,4,0.171875,0.15625,458371.56699777406,1679.552899112692,140,4
0,5,0.21875,0.203125,457185.4447818648,1186.122215909243,169,5
0,6,0.28125,0.25,456251.227740473,934.2170413918211,198,6
0,7,0.3125,0.28125,454867.05508689483,1384.1726535781636,226,7
0,8,0.34375,0.3125,453973.062163168,893.9929237268516,254,8
0,9,0.40625,0.359375,453240.816126658,732.2460365099832,281,9
0,10,0.484375,0.421875,452712.50394360983,528.3121830481687,311,10
0,11,0.515625,0.453125,452344.2844071252,368.2195364846266,341,11
0,12,0.546875,0.484375,451532.56747033534,811.7169367898605,370,12
0,13,0.59375,0.515625,451171.5634421845,361.00402815087,398,13
0,14,0.65625,0.5625,450538.53409436665,633.029347817821,424,14
0,15,0.6875,0.59375,450363.12783363444,175.4062607322121,453,15
0,16,0.71875,0.625,449920.81335904077,442.31447459367337,480,16
0,17,0.75,0.65625,449713.58700108965,207.22635795112,509,17
0,18,0.8125,0.703125,449335.53651135706,378.0504897325882,536,18
0,19,0.859375,0.75,449129.86212653056,205.67438482650323,564,19
0,20,0.921875,0.796875,448883.64706756675,246.21505896380404,593,20
0,21,0.953125,0.828125,448590.8569286118,292.790138954937,617,21
0,22,0.984375,0.859375,448428.22585312667,162.6310754851438,646,22
0,23,1.046875,0.90625,448293.1858481332,135.04000499349786,676,23
0,24,1.078125,0.9375,448013.8631514619,279.3226966712973,704,24
0,25,1.109375,0.96875,447862.9705480354,150.89260342647322,733,25
0,26,1.140625,1.0,447739.87795498205,123.09259305335581,762,26
0,27,1.171875,1.03125,447586.05088415364,153.8270708284108,790,27
0,28,1.25,1.09375,447202.83285362454,383.2180305290967,816,28
0,29,1.3125,1.140625,446926.4846055503,276.34824807423865,843,29
0,30,1.34375,1.171875,446766.8268520909,159.65775345941074,871,30
0,31,1.375,1.203125,446651.2861838576,115.54066823329777,898,31
0,32,1.390625,1.21875,446572.32729373995,78.95889011764666,924,32
0,33,1.4375,1.265625,446516.60226881097,55.72502492897911,952,33
0,34,1.484375,1.296875,446397.0853121938,119.51695661718259,981,34
0,35,1.515625,1.328125,446305.6774035739,91.40790861990536,1009,35
0,36,1.53125,1.34375,446212.0072780631,93.67012551077642,1038,36
0,37,1.578125,1.390625,446170.21294655604,41.794331507058814,1066,37
0,38,1.59375,1.40625,446101.96854512097,68.24440143507672,1095,38
0,39,1.65625,1.453125,445982.7632184422,119.20532667875523,1122,39
0,40,1.703125,1.5,445905.7314725704,77.03174587182002,1151,40
0,41,1.734375,1.53125,445783.1481025613,122.58337000908796,1178,41
