,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,819009.6170679629,1.7976931348623157e+308,0,0
0,1,94339.765625,97364.421875,682612.9878744311,136396.62919353181,33,1
0,2,154994.0625,159978.09375,625402.6742780963,57210.313596334774,52,2
0,3,203707.09375,210368.703125,623980.7222130403,1421.952065055957,68,3
0,4,246661.203125,254723.40625,623351.5837911039,629.1384219364263,82,4
0,5,278676.28125,287707.171875,623289.2438030528,62.33998805109877,94,5
0,6,300872.828125,310606.765625,623282.1058094408,7.137993611977436,103,6
0,7,317011.484375,327270.375,623280.785595271,1.3202141697984189,110,7
0,8,333030.6875,343776.90625,623280.6220509026,0.1635443684644997,117,8
0,9,345854.671875,356993.96875,623280.5386488916,0.08340201096143574,123,9
