,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,-359.37746276864,0.9642260055673267,0.1,0,0,0,0
0,1,1.265625,10.59375,-267.6613686819095,0.018617659816165665,0.1,3,3,1,1
0,2,4.0,29.796875,-361.99288861656356,1.3213576831287568,0.14641000000000004,10,6,2,2
0,3,5.984375,43.09375,-285.58640108305235,0.019003378585405285,0.14641000000000004,13,9,3,3
0,4,7.4375,53.640625,-363.1555749026901,0.9519990982750757,0.14641000000000004,16,12,4,4
0,5,8.75,63.21875,-279.3444908888034,0.019501809007257342,0.14641000000000004,19,15,5,5
0,6,9.8125,72.203125,-363.61224226186397,0.7987447833820467,0.14641000000000004,22,18,6,6
0,7,11.140625,82.125,-288.3889948640786,0.019311711991964676,0.14641000000000004,25,21,7,7
0,8,12.25,91.25,-363.4466778091845,0.7459025599519503,0.14641000000000004,28,24,8,8
0,9,13.28125,100.328125,-275.372540423474,0.020919746512953356,0.14641000000000004,31,27,9,9
0,10,14.34375,109.453125,-363.0446636947934,0.7138120713912668,0.14641000000000004,34,30,10,10
0,11,15.515625,118.671875,-291.95575072649956,0.0192292355360447,0.14641000000000004,37,33,11,11
0,12,16.671875,127.921875,-363.4511605266476,0.7027878609567534,0.14641000000000004,40,36,12,12
0,13,17.78125,137.125,-275.04694909570435,0.02202544131504384,0.14641000000000004,43,39,13,13
0,14,18.890625,146.140625,-362.12201679194,0.7028002631996039,0.14641000000000004,46,42,14,14
0,15,20.09375,155.234375,-291.9665359754786,0.019181576003929685,0.14641000000000004,49,45,15,15
0,16,21.1875,164.296875,-363.38097218420785,0.7028125900508676,0.14641000000000004,52,48,16,16
0,17,22.265625,173.390625,-275.0865316540791,0.02171673346393634,0.14641000000000004,55,51,17,17
0,18,23.375,182.515625,-361.5063773457108,0.7028245940812732,0.14641000000000004,58,54,18,18
0,19,24.453125,191.609375,-292.3549126284811,0.01915171269004097,0.14641000000000004,61,57,19,19
0,20,25.578125,200.953125,-363.353179067295,0.7028360945024599,0.14641000000000004,64,60,20,20
0,21,27.03125,210.859375,-275.1091626655127,0.021819842585665,0.14641000000000004,67,63,21,21
0,22,28.328125,221.40625,-361.0817373661196,0.7028469694414526,0.14641000000000004,70,66,22,22
0,23,29.734375,232.421875,-292.23599947674717,0.01913115897479541,0.14641000000000004,73,69,23,23
0,24,31.9375,245.5,-363.3043709378398,0.7028571461696006,0.14641000000000004,76,72,24,24
0,25,34.15625,260.34375,-275.1233677464444,0.021655147853208982,0.14641000000000004,79,75,25,25
0,26,35.375,270.65625,-360.7430542670494,0.702866590999279,0.14641000000000004,82,78,26,26
0,27,36.53125,280.640625,-292.51246307402835,0.019116051796288638,0.14641000000000004,85,81,27,27
0,28,37.703125,290.28125,-363.2905243044934,0.7028752997737484,0.14641000000000004,88,84,28,28
0,29,38.859375,299.90625,-275.1325041676914,0.021756191440664104,0.14641000000000004,91,87,29,29
0,30,39.96875,309.5,-360.5048033964275,0.7028832896188351,0.14641000000000004,94,90,30,30
0,31,41.125,319.046875,-292.35056964999603,0.019104404835793905,0.14641000000000004,97,93,31,31
0,32,42.3125,328.75,-363.2541549198013,0.702890592101063,0.14641000000000004,100,96,32,32
0,33,43.484375,338.296875,-275.13893295402914,0.021606938337261756,0.14641000000000004,103,99,33,33
0,34,44.796875,348.453125,-360.29165120100794,0.7028972478548358,0.14641000000000004,106,102,34,34
0,35,46.078125,358.453125,-292.6080212225467,0.019095091944640135,0.14641000000000004,109,105,35,35
0,36,47.21875,368.171875,-363.2501078339753,0.7029033024678399,0.14641000000000004,112,108,36,36
0,37,48.4375,377.859375,-275.14337336009487,0.021724515012355318,0.14641000000000004,115,111,37,37
0,38,49.5625,387.453125,-360.14512689967563,0.7029088034909097,0.14641000000000004,118,114,38,38
0,39,50.796875,397.1875,-292.40402603779444,0.019087427941802824,0.14641000000000004,121,117,39,39
0,40,52.21875,407.546875,-363.21925440650784,0.7029137983147872,0.14641000000000004,124,120,40,40
0,41,53.375,417.109375,-275.1467925850878,0.021567171193808042,0.14641000000000004,127,123,41,41
0,42,54.625,427.125,-359.99506668096217,0.7029183327655105,0.14641000000000004,130,126,42,42
0,43,55.765625,436.734375,-292.6809740917025,0.019080973203378298,0.14641000000000004,133,129,43,43
0,44,56.90625,446.3125,-363.22267932041973,0.7029224501992724,0.14641000000000004,136,132,44,44
0,45,58.125,455.96875,-275.14923502970464,0.02171080057615492,0.14641000000000004,139,135,45,45
0,46,59.359375,465.890625,-359.90100378390997,0.7029261909997141,0.14641000000000004,142,138,46,46
0,47,60.515625,475.53125,-292.42326031573714,0.019075433592406855,0.14641000000000004,145,141,47,47
0,48,61.65625,485.1875,-363.193207815645,0.7029295923348066,0.14641000000000004,148,144,48,48
0,49,62.859375,494.84375,-275.1512824318898,0.021529748191918486,0.14641000000000004,151,147,49,49
0,50,63.96875,504.53125,-359.785009612459,0.7029326881203575,0.14641000000000004,154,150,50,50
0,51,65.109375,514.125,-292.7479173508014,0.01907060543595758,0.14641000000000004,157,153,51,51
0,52,66.25,523.765625,-363.2035053754712,0.7029355090917665,0.14641000000000004,160,156,52,52
0,53,67.375,533.265625,-275.1527389839007,0.02171109783195573,0.14641000000000004,163,159,53,53
