,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,-4563.077149788936,91.83052200007097,308.641975308642,0,0,0,0
0,1,0.125,0.1875,-4784.131772958831,56.76977554868495,308.641975308642,2,3,1,1
0,2,0.3125,0.375,-4928.194962434102,40.257818532390495,308.641975308642,4,6,2,2
0,3,0.5,0.5625,-5054.016833339653,31.362637792169473,308.641975308642,6,9,3,3
0,4,0.6875,0.75,-5156.910797244012,24.027367053563637,308.641975308642,8,12,4,4
0,5,0.875,0.9375,-5239.202765426402,18.382395937437618,308.641975308642,10,15,5,5
0,6,1.0,1.125,-5304.952730578576,14.973151278269782,308.641975308642,12,18,6,6
0,7,1.125,1.3125,-5357.465654873844,12.252627582954222,308.641975308642,14,21,7,7
0,8,1.3125,1.5,-5400.11303702978,11.148213652999528,308.641975308642,16,24,8,8
0,9,1.375,1.5625,-5435.3348560269815,10.425818944592852,308.641975308642,18,27,9,9
0,10,1.5,1.75,-5464.73608937348,9.70559136560339,308.641975308642,20,30,10,10
0,11,1.75,2.0,-5489.489352821328,8.992757177031397,308.641975308642,22,33,11,11
0,12,1.9375,2.1875,-5510.829440617017,8.264215459315835,308.641975308642,24,36,12,12
0,13,2.109375,2.359375,-5529.4313029358445,7.822177812230622,308.641975308642,26,39,13,13
0,14,2.234375,2.484375,-5545.8691573987,7.449943639097475,308.641975308642,28,42,14,14
0,15,2.421875,2.734375,-5560.6041460396655,6.805380346926673,308.641975308642,30,45,15,15
0,16,2.609375,2.921875,-5573.888244877022,6.108167516145283,308.641975308642,32,48,16,16
0,17,2.796875,3.109375,-5585.780475413639,5.712429258047648,308.641975308642,34,51,17,17
0,18,2.921875,3.296875,-5596.399302958968,5.481222363286988,308.641975308642,36,54,18,18
0,19,3.109375,3.484375,-5605.857728864515,5.201220417605388,308.641975308642,38,57,19,19
0,20,3.234375,3.671875,-5614.2060405004395,4.881067782261168,308.641975308642,40,60,20,20
0,21,3.421875,3.859375,-5621.566084782686,4.519114596748938,308.641975308642,42,63,21,21
0,22,3.484375,3.984375,-5628.031877147903,4.119743253013497,308.641975308642,44,66,22,22
0,23,3.609375,4.171875,-5633.678577858559,3.691258911324545,308.641975308642,46,69,23,23
0,24,3.796875,4.359375,-5638.555939881895,3.245721643391642,308.641975308642,48,72,24,24
0,25,3.984375,4.546875,-5642.707915224773,3.1557407884348434,308.641975308642,50,75,25,25
0,26,4.109375,4.734375,-5646.169686413077,3.0610247245469893,308.641975308642,52,78,26,26
0,27,4.234375,4.859375,-5649.068813849202,2.936579918329219,308.641975308642,54,81,27,27
0,28,4.359375,4.984375,-5651.465793883482,2.8020082939903013,308.641975308642,56,84,28,28
0,29,4.484375,5.109375,-5653.420282209471,2.639906562053582,308.641975308642,58,87,29,29
0,30,4.671875,5.296875,-5655.040885092453,2.4539505073874857,308.641975308642,60,90,30,30
0,31,4.859375,5.484375,-5656.425562183687,2.250152364026383,308.641975308642,62,93,31,31
0,32,4.984375,5.609375,-5657.646261445295,2.0346533245737284,308.641975308642,64,96,32,32
0,33,5.171875,5.796875,-5658.696591880201,1.8133575960434083,308.641975308642,66,99,33,33
0,34,5.359375,5.984375,-5659.576568895205,1.5907950664160677,308.641975308642,68,102,34,34
0,35,5.609375,6.234375,-5660.318330151819,1.3853165651315855,308.641975308642,70,105,35,35
0,36,5.796875,6.421875,-5660.980378269981,1.235790930186024,308.641975308642,72,108,36,36
0,37,5.984375,6.609375,-5661.597077944505,1.2378682902012246,308.641975308642,74,111,37,37
0,38,6.046875,6.734375,-5662.189576723211,1.2198966746101112,308.641975308642,76,114,38,38
0,39,6.296875,6.984375,-5662.770438422494,1.1791996010206907,308.641975308642,78,117,39,39
0,40,6.484375,7.171875,-5663.331952470765,1.1048715103370532,308.641975308642,80,120,40,40
0,41,6.609375,7.359375,-5663.857286952733,1.0774035341447281,308.641975308642,82,123,41,41
0,42,6.734375,7.484375,-5664.341728446745,1.0460378696955472,308.641975308642,84,126,42,42
0,43,6.984375,7.734375,-5664.783897156209,1.0115478007210401,308.641975308642,86,129,43,43
0,44,7.171875,7.921875,-5665.183089301414,0.9742625832366845,308.641975308642,88,132,44,44
0,45,7.34375,8.09375,-5665.5392555773315,0.9346689807225952,308.641975308642,90,135,45,45
0,46,7.53125,8.34375,-5665.856000842009,0.8935078294320927,308.641975308642,92,138,46,46
0,47,7.78125,8.59375,-5666.1393114251505,0.8514650671642726,308.641975308642,94,141,47,47
0,48,8.03125,8.84375,-5666.395699435969,0.809099427529468,308.641975308642,96,144,48,48
0,49,8.21875,9.03125,-5666.628395651254,0.7668525710099137,308.641975308642,98,147,49,49
0,50,8.34375,9.21875,-5666.835309589068,0.7644131973750845,308.641975308642,100,150,50,50
0,51,8.46875,9.40625,-5667.029256899628,0.7808125815824214,308.641975308642,102,153,51,51
0,52,8.65625,9.59375,-5667.2105709980315,0.7651095595443307,308.641975308642,104,156,52,52
0,53,8.78125,9.71875,-5667.382331586505,0.7219476836234167,308.641975308642,106,159,53,53
0,54,8.90625,9.90625,-5667.546122890922,0.7600923366736172,308.641975308642,108,162,54,54
0,55,9.03125,10.09375,-5667.70228939394,0.7992939679268565,308.641975308642,110,165,55,55
0,56,9.265625,10.328125,-5667.850918543095,0.8105372315854025,308.641975308642,112,168,56,56
