,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,100000.0,1.7976931348623157e+308,0,0
0,1,965.84375,967.0,9302.400695643995,90697.599304356,1,1
0,2,1973.796875,1976.234375,8910.493485821988,391.90720982200764,2,2
0,3,2950.796875,2954.578125,8703.299138599321,207.1943472226667,3,3
0,4,3933.125,3938.28125,8503.658598969703,199.6405396296177,4,4
0,5,4920.375,4926.90625,8360.801456470426,142.85714249927696,5,5
0,6,5909.828125,5917.8125,8311.805275278624,48.99618119180195,6,6
0,7,6938.625,6948.109375,8247.132235749275,64.6730395293489,7,7
0,8,7954.65625,7965.59375,8225.213692537782,21.91854321149367,8,8
0,9,8982.671875,8995.0625,8212.805006351606,12.408686186176055,9,9
