,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,-5172.100314023201,92.21948499699121,462.9629629629629,0,0,0,0
0,1,4.0625,32.4375,-5356.425110346807,78.87370480557372,462.9629629629629,2,3,1,1
0,2,8.515625,65.34375,-5499.762504436652,67.58585809180087,462.9629629629629,4,6,2,2
0,3,13.71875,112.453125,-5642.1310950387315,55.32832464887552,462.9629629629629,6,9,3,3
0,4,18.890625,159.53125,-5770.457506137718,43.11177093315781,462.9629629629629,8,12,4,4
0,5,24.296875,206.984375,-5878.386199350516,31.697329228580173,462.9629629629629,10,15,5,5
0,6,29.4375,253.640625,-5964.973965192594,27.642696985497192,462.9629629629629,12,18,6,6
0,7,34.90625,301.0,-6032.677562312256,25.372348607450284,462.9629629629629,14,21,7,7
0,8,40.046875,347.640625,-6085.107712502896,22.08906317612799,462.9629629629629,16,24,8,8
0,9,45.296875,394.5625,-6125.926550445001,18.205494248713237,462.9629629629629,18,27,9,9
0,10,50.53125,441.484375,-6158.441186873779,14.135948810480967,462.9629629629629,20,30,10,10
0,11,55.6875,488.984375,-6185.179604611512,12.344360843687216,462.9629629629629,22,33,11,11
0,12,60.8125,535.71875,-6207.805997407313,11.568250978968669,462.9629629629629,24,36,12,12
0,13,66.125,583.59375,-6227.088779477439,10.664305348781795,462.9629629629629,26,39,13,13
0,14,71.265625,630.5625,-6243.251216273392,9.705398649781692,462.9629629629629,28,42,14,14
0,15,76.4375,677.4375,-6256.920447427083,8.784827027017897,462.9629629629629,30,45,15,15
0,16,81.59375,724.40625,-6268.725557120934,7.89722684160415,462.9629629629629,32,48,16,16
0,17,86.953125,771.859375,-6279.137077460661,7.065608281638475,462.9629629629629,34,51,17,17
0,18,92.28125,819.3125,-6288.477980848582,6.328784252380626,462.9629629629629,36,54,18,18
0,19,97.875,868.84375,-6296.876597524885,5.938332354288642,462.9629629629629,38,57,19,19
0,20,103.78125,918.6875,-6304.581578554327,5.534112963566298,462.9629629629629,40,60,20,20
0,21,109.9375,970.359375,-6311.677029170762,5.1194072158722035,462.9629629629629,42,63,21,21
0,22,115.109375,1017.984375,-6318.213511105851,4.757510796806216,462.9629629629629,44,66,22,22
0,23,120.890625,1068.21875,-6324.221355539956,4.4645720698512426,462.9629629629629,46,69,23,23
0,24,128.859375,1135.875,-6329.669870873245,4.206983493269748,462.9629629629629,48,72,24,24
0,25,136.40625,1200.4375,-6334.563621168568,3.9671238408337284,462.9629629629629,50,75,25,25
0,26,143.828125,1262.265625,-6338.967318550477,3.72551514226695,462.9629629629629,52,78,26,26
0,27,150.96875,1325.0,-6342.920679064462,3.4807846528258635,462.9629629629629,54,81,27,27
0,28,155.609375,1365.28125,-6346.460577061706,3.2341768887519287,462.9629629629629,56,84,28,28
0,29,162.171875,1423.34375,-6349.622449479155,2.988179575285565,462.9629629629629,58,87,29,29
0,30,170.109375,1486.96875,-6352.441154542661,2.7456228611917775,462.9629629629629,60,90,30,30
0,31,177.890625,1555.375,-6354.949842113258,2.534767720991559,462.9629629629629,62,93,31,31
0,32,185.5,1617.625,-6357.178662719671,2.4769385174046676,462.9629629629629,64,96,32,32
0,33,190.875,1646.109375,-6359.114122122112,2.4207202199942754,462.9629629629629,66,99,33,33
0,34,194.328125,1668.140625,-6360.7520385575845,2.3681810154783562,462.9629629629629,68,102,34,34
0,35,198.21875,1694.140625,-6362.1454038364545,2.2823541734568176,462.9629629629629,70,105,35,35
