,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,-243289.59898698656,0.0,424.4482173174872,0,0,0,0
0,1,0.71875,1.5,-257888.56972789197,7781.872790217093,424.4482173174872,2,3,2,1
0,2,2.25,4.421875,-267543.57382964675,694.7829489744803,1465.3103626456295,17,6,17,2
0,3,3.0,5.953125,-274486.22352078836,1928.4913904357181,1465.3103626456295,19,9,19,3
0,4,3.84375,7.671875,-280153.9538886237,634.2688733983109,1773.025538801212,23,12,23,4
0,5,4.578125,9.1875,-285180.7347621107,654.2475393567189,1773.025538801212,25,15,25,5
0,6,5.3125,10.703125,-288880.3036614458,717.331550473121,1773.025538801212,27,18,27,6
0,7,6.03125,12.203125,-293389.97211712075,703.8075844373777,1773.025538801212,29,21,29,7
0,8,6.875,13.90625,-296642.73715089733,621.6635350112894,2145.360901949467,33,24,33,8
0,9,7.578125,15.390625,-300209.77837016963,808.2136809432302,2145.360901949467,35,27,35,9
0,10,8.25,16.84375,-303496.95435284555,600.5537701508273,2145.360901949467,37,30,37,10
0,11,8.96875,18.3125,-306778.1416562367,700.583148904768,2145.360901949467,39,33,39,11
0,12,9.6875,19.8125,-309962.95781045087,680.0164537155936,2145.360901949467,41,36,41,12
0,13,10.390625,21.296875,-313034.11590949167,611.6166150856128,2145.360901949467,43,39,43,13
0,14,11.109375,22.796875,-315964.7473792679,683.3455129325306,2145.360901949467,45,42,45,14
0,15,11.84375,24.296875,-318743.85215011094,623.7108491545745,2145.360901949467,47,45,47,15
0,16,12.5625,25.796875,-321377.2315536527,648.7308490385971,2145.360901949467,49,48,49,16
0,17,13.28125,27.296875,-323916.95996231766,679.57152853461,2145.360901949467,51,51,51,17
0,18,13.984375,28.765625,-326392.0244221005,685.331909313165,2145.360901949467,53,54,53,18
0,19,14.6875,30.234375,-328824.2098429367,737.9511018031151,2145.360901949467,55,57,55,19
0,20,15.40625,31.71875,-331202.09629809484,756.7544124518239,2145.360901949467,57,60,57,20
0,21,16.09375,33.1875,-333535.98405222,748.9752918208383,2145.360901949467,59,63,59,21
0,22,16.84375,34.6875,-335824.46651797957,701.3002731241581,2145.360901949467,61,66,61,22
0,23,17.546875,36.15625,-338078.9105435783,678.2206208971305,2145.360901949467,63,69,63,23
0,24,18.25,37.625,-340306.8863330603,666.8042129075269,2145.360901949467,65,72,65,24
0,25,18.953125,39.109375,-342507.50710334524,665.8672288554769,2145.360901949467,67,75,67,25
0,26,19.65625,40.578125,-344683.4781632903,673.7213163151778,2145.360901949467,69,78,69,26
0,27,20.359375,42.046875,-346844.47625910974,686.6532007287603,2145.360901949467,71,81,71,27
0,28,21.0625,43.515625,-348993.8285174639,701.5219476491138,2145.360901949467,73,84,73,28
0,29,21.78125,45.015625,-351130.3255960946,718.7112622885638,2145.360901949467,75,87,75,29
0,30,22.5,46.5,-353253.9699011276,746.9857821547246,2145.360901949467,77,90,77,30
0,31,23.21875,47.96875,-355365.6545217528,761.817240340782,2145.360901949467,79,93,79,31
0,32,23.953125,49.484375,-357461.40353070665,760.6556682519936,2145.360901949467,81,96,81,32
0,33,24.640625,50.953125,-359541.8396495143,768.4766940387157,2145.360901949467,83,99,83,33
0,34,25.34375,52.421875,-361606.63923680515,781.0444157395215,2145.360901949467,85,102,85,34
0,35,26.0625,53.90625,-363653.633918192,793.8144539634347,2145.360901949467,87,105,87,35
0,36,26.765625,55.390625,-365681.3985972054,804.5176907413132,2145.360901949467,89,108,89,36
0,37,27.484375,56.890625,-367688.62648594676,843.0157501819054,2145.360901949467,91,111,91,37
0,38,28.1875,58.359375,-369675.29413508635,888.5996575856061,2145.360901949467,93,114,93,38
0,39,28.890625,59.84375,-371641.8020937848,938.8079776880248,2145.360901949467,95,117,95,39
0,40,29.609375,61.328125,-373589.45021272893,1016.0101013608042,2145.360901949467,97,120,97,40
0,41,30.3125,62.8125,-375519.42189214984,1097.9129130768613,2145.360901949467,99,123,99,41
0,42,31.03125,64.296875,-377436.4182039855,1183.9561175639485,2145.360901949467,101,126,101,42
0,43,31.75,65.796875,-379344.8373083357,1271.243020006835,2145.360901949467,103,129,103,43
0,44,32.453125,67.28125,-381248.74161068676,1356.8679848086763,2145.360901949467,105,132,105,44
0,45,33.171875,68.765625,-383151.86179012444,1436.9471276390877,2145.360901949467,107,135,107,45
0,46,33.875,70.234375,-385057.2687103166,1510.2989512417485,2145.360901949467,109,138,109,46
0,47,34.59375,71.71875,-386967.1333274474,1577.7360849538613,2145.360901949467,111,141,111,47
0,48,35.28125,73.1875,-388883.6917001329,1641.414706695311,2145.360901949467,113,144,113,48
0,49,36.0,74.6875,-390808.3058861996,1698.6417457350863,2145.360901949467,115,147,115,49
0,50,36.71875,76.171875,-392743.7379252974,1748.8989522975935,2145.360901949467,117,150,117,50
0,51,37.40625,77.625,-394690.2463765717,1795.7160071753572,2145.360901949467,119,153,119,51
0,52,38.109375,79.109375,-396648.321733088,1840.1065717249312,2145.360901949467,121,156,121,52
0,53,38.8125,80.578125,-398618.6110249692,1883.982856096879,2145.360901949467,123,159,123,53
0,54,39.515625,82.0625,-400601.0640491095,1930.109815751197,2145.360901949467,125,162,125,54
0,55,40.234375,83.546875,-402595.21334907523,1979.9494411291453,2145.360901949467,127,165,127,55
0,56,40.953125,85.03125,-404600.7825621497,2034.576455047823,2145.360901949467,129,168,129,56
0,57,41.65625,86.5,-406618.46434002044,2088.036515768192,2145.360901949467,131,171,131,57
0,58,42.359375,87.984375,-408648.4390254716,2129.5522625339886,2145.360901949467,133,174,133,58
0,59,43.0625,89.453125,-410691.14087654056,2156.570909258734,2145.360901949467,135,177,135,59
0,60,43.765625,90.9375,-412747.5403273015,2187.2835072181315,2145.360901949467,137,180,137,60
0,61,44.453125,92.390625,-414818.00935955404,2236.053258357645,2145.360901949467,139,183,139,61
0,62,45.15625,93.859375,-416903.6867221795,2302.4846173127758,2145.360901949467,141,186,141,62
0,63,45.875,95.359375,-419005.4797064148,2379.717700925155,2145.360901949467,143,189,143,63
0,64,46.578125,96.84375,-421123.26127484895,2460.6442410847476,2145.360901949467,145,192,145,64
0,65,47.296875,98.328125,-423258.2960132273,2532.2279930185914,2145.360901949467,147,195,147,65
0,66,48.03125,99.8125,-425409.23833749385,2552.5879845575278,2145.360901949467,149,198,149,66
0,67,48.71875,101.265625,-427577.73860940116,2662.4876371480777,2145.360901949467,151,201,151,67
0,68,49.421875,102.734375,-429764.02675054886,2757.946852207009,2145.360901949467,153,204,153,68
0,69,50.109375,104.203125,-431968.56256583624,2835.1377989743637,2145.360901949467,155,207,155,69
0,70,50.8125,105.6875,-434191.37670582626,2891.390893970268,2145.360901949467,157,210,157,70
0,71,51.515625,107.140625,-436432.9461175498,2929.0345525978473,2145.360901949467,159,213,159,71
0,72,52.1875,108.578125,-438693.129047586,2957.7073685670557,2145.360901949467,161,216,161,72
0,73,52.859375,110.03125,-440972.57839587796,2978.604006142108,2145.360901949467,163,219,163,73
0,74,53.5625,111.484375,-443272.6196037852,3023.3307654509945,2145.360901949467,165,222,165,74
0,75,54.265625,112.9375,-445593.2911650854,3163.2743359335095,2145.360901949467,167,225,167,75
0,76,54.96875,114.40625,-447934.2548723906,3286.466355245522,2145.360901949467,169,228,169,76
0,77,55.671875,115.875,-450294.8602059621,3413.4980572998697,2145.360901949467,171,231,171,77
0,78,56.359375,117.34375,-452676.0939541285,3539.970463518405,2145.360901949467,173,234,173,78
