,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,0,0.0,0.0,2000000.0,1.7976931348623157e+308,0,0
0,1,39.484375,39.453125,309526.0513936277,1690473.9486063723,58,1
0,2,79.0625,79.015625,303947.1830604784,5578.868333149294,88,2
0,3,118.75,118.6875,302013.3468674809,1933.8361929975217,119,3
0,4,159.578125,159.515625,297863.6262210021,4149.720646478818,149,4
0,5,196.484375,196.40625,295540.34344293096,2323.282778071123,174,5
0,6,234.25,234.140625,292625.11857547035,2915.224867460609,203,6
0,7,271.640625,271.5,289921.3456138919,2703.7729615784483,232,7
0,8,312.3125,312.171875,287962.09603111073,1959.2495827811654,261,8
0,9,351.625,351.46875,285878.57130091335,2083.524730197387,288,9
0,10,388.453125,388.28125,283888.73214489373,1989.8391560196178,316,10
0,11,429.96875,429.796875,282498.5042766499,1390.227868243819,345,11
0,12,474.234375,474.0625,281486.4585454956,1012.0457311543287,373,12
0,13,517.65625,517.484375,280589.6294291862,896.8291163093527,399,13
0,14,563.609375,563.421875,279663.4799068951,926.1495222911472,426,14
0,15,611.046875,610.859375,278737.5760589685,925.9038479265873,455,15
0,16,656.375,656.1875,278210.27901672886,527.297042239632,483,16
0,17,705.84375,705.65625,277387.8397474694,822.4392692594556,511,17
0,18,752.765625,752.578125,276829.1776001123,558.6621473571286,538,18
0,19,796.90625,796.6875,276467.0729812742,362.1046188380569,566,19
0,20,839.96875,839.734375,275937.4569001743,529.616081099899,593,20
0,21,881.578125,881.34375,275530.2228866023,407.2340135720442,620,21
0,22,925.09375,924.84375,275221.0315044953,309.19138210697565,647,22
0,23,964.5625,964.296875,274877.9261778978,343.1053265975206,675,23
0,24,1004.53125,1004.265625,274570.7792883195,307.14688957826,703,24
0,25,1041.453125,1041.171875,274324.8789776005,245.9003107190365,731,25
0,26,1083.625,1083.34375,274093.18858971796,231.6903878825251,759,26
0,27,1122.4375,1122.15625,273831.1294236305,262.05916608747793,786,27
0,28,1160.109375,1159.8125,273592.76757944823,238.3618441822473,814,28
0,29,1199.375,1199.078125,273441.83655942435,150.93102002388332,840,29
0,30,1239.75,1239.4375,273238.210094756,203.62646466837032,868,30
0,31,1279.984375,1279.65625,273028.66865600226,209.54143875371665,897,31
0,32,1326.421875,1326.09375,272819.53081603616,209.13783996610437,925,32
0,33,1365.703125,1365.359375,272673.52598438255,146.0048316536122,953,33
0,34,1403.421875,1403.078125,272525.84030002775,147.6856843548012,980,34
0,35,1441.46875,1441.109375,272384.4410090039,141.39929102384485,1008,35
0,36,1484.4375,1484.0625,272269.3380863316,115.10292267228942,1036,36
0,37,1529.4375,1529.046875,272135.3202697916,134.01781654002843,1064,37
0,38,1575.671875,1575.28125,272031.17123031215,104.14903947943822,1090,38
0,39,1627.140625,1626.75,271925.9999258739,105.17130443826318,1116,39
0,40,1672.390625,1672.0,271808.9276871049,117.07223876897478,1144,40
0,41,1720.265625,1719.875,271722.55419465055,86.37349245435325,1172,41
0,42,1766.984375,1766.59375,271644.05731149216,78.4968831583974,1197,42
0,43,1814.734375,1814.328125,271589.27742341853,54.779888073622715,1225,43
0,44,1861.859375,1861.4375,271487.6623139589,101.61510945961345,1253,44
0,45,1908.40625,1907.984375,271406.748833763,80.91348019591533,1281,45
0,46,1955.484375,1955.0625,271342.7853454595,63.96348830353236,1309,46
0,47,2002.203125,2001.765625,271289.69314935384,53.09219610563014,1336,47
0,48,2046.640625,2046.1875,271254.0665833331,35.62656602077186,1364,48
0,49,2093.828125,2093.359375,271183.8525119934,70.21407133969478,1391,49
0,50,2137.6875,2137.1875,271132.2304493167,51.622062676702626,1416,50
0,51,2178.578125,2178.0625,271105.7681340092,26.46231530746445,1445,51
0,52,2219.0625,2218.53125,271053.4808999758,52.28723403339973,1473,52
0,53,2258.40625,2257.875,271004.87242678757,48.608473188243806,1502,53
0,54,2298.03125,2297.5,270949.6402945554,55.232132232165895,1530,54
0,55,2335.1875,2334.65625,270912.3888868059,37.251407749485224,1559,55
