,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,1216419.537877334,1.7976931348623157e+308,0,0
0,1,94725.9375,99324.546875,487864.30077942705,728555.237097907,38,1
0,2,129043.90625,135321.953125,412555.7352038934,75308.56557553366,56,2
0,3,146771.4375,153920.8125,385578.83324154944,26976.901962343953,74,3
0,4,162586.765625,170511.25,315214.90853234305,70363.92470920639,93,4
0,5,175341.21875,183892.03125,302956.75552935584,12258.153002987208,111,5
0,6,192539.84375,201933.59375,281048.35248655756,21908.40304279828,128,6
0,7,207261.640625,217376.953125,279418.35356492514,1629.9989216324175,146,7
0,8,217961.015625,228599.0625,274030.42091773916,5387.932647185982,160,8
0,9,232169.03125,243496.671875,272282.4403317743,1747.9805859648623,177,9
0,10,244699.015625,256635.671875,270272.46649452747,2009.9738372468273,193,10
0,11,255620.265625,268087.765625,269636.88624749356,635.5802470339113,208,11
0,12,265593.265625,278546.234375,268943.1649861773,693.7212613162701,221,12
0,13,278772.84375,292368.8125,268677.60554155166,265.5594446256291,238,13
0,14,290495.0,304665.984375,268479.22432993515,198.38121161650633,253,14
0,15,302540.8125,317301.625,268411.1475146025,68.0768153326353,269,15
0,16,310084.296875,325212.765625,268243.8986698418,167.24884476070292,280,16
0,17,321605.015625,337296.578125,268206.34249652276,37.55617331905523,295,17
0,18,332005.15625,348210.453125,268190.7708886954,15.57160782738356,309,18
0,19,341213.46875,357881.625,268133.9065783342,56.86431036115391,321,19
0,20,352697.09375,369943.71875,268129.257511672,4.649066662241239,335,20
0,21,363471.609375,381265.265625,268118.0544620785,11.203049593488686,349,21
0,22,371255.203125,389444.078125,268112.27474673785,5.779715340642724,360,22
0,23,379209.296875,397802.65625,268090.8665451942,21.408201543672476,370,23
0,24,389986.015625,409126.484375,268084.3114299326,6.555115261580795,384,24
0,25,396230.875,415690.15625,268083.55980347056,0.7516264620353468,393,25
0,26,401770.3125,421512.75,268073.753091091,9.806712379562669,401,26
0,27,410180.25,430344.484375,268070.2365604726,3.516530618420802,412,27
0,28,422226.953125,442989.890625,268070.2781150265,-0.041554553899914026,427,28
